"id";"category";"name";"type";"Марка :";"Классификация :";"Дополнение:";"Применение:";"Зарубежные аналоги:";"Заменитель:";
"http://splav-kharkov.com/mat_start.php?name_id=680";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"76НХД";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т.";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=682";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"79НМ       (    другое обозначение         79НМП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т. Сплав 79НМП с высокой прямоугольностью петли гистерезиса и низким коэффициентом перемагничивания";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=681";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"77НМД       (    другое обозначение         77НМДП     )";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т. Сплав 77НМДН с высокой прямоугольностью петли гистерезиса и низким коэффициентом перемагничивания";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=687";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"81НМА";"Сплав прецизионный магнитно-мягкий";"Сплав с наивысшим значением магнитной проницаемости в слабых постоянных и переменных магнитных полях с пониженной чувствительностью к механическим воздействиям и повышенной прочностью. В зависимости от окончательной термообработки σВ может быть от 640 Н/мм2 (65 кгс/мм2) до 1270 Н/мм2 (130 кгс/мм2).";"Для  сердечников магнитных головок, малогабаритных трансформаторов, дросселей, реле, дефектоскопов, магнитных экранов, феррозондов для применения в радиоэлектронной аппаратуре высокой чувствительности.";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=684";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"80НХС";"Сплав прецизионный магнитно-мягкий";"Сплав с высокой магнитной проницаемостью в слабых полях при индукции насыщения 0,65-0,75 Т.";"Для сердечников малогабаритных трансформаторов, дросселей и реле, работающих в слабых полях магнитных экранов. В малых толщинах (0,05— 0,02 мм) — для сердечников импульсных трансформаторов, магнитных усилителей и бесконтактных реле, для сердечников магнитных головок.";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=982";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"80Н2М";"Сплав прецизионный магнитно-мягкий";;"для сердечников накопительных трансформаторов; сплав с прямоугольной петлей гистерезиса";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=686";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"83НФ";"Сплав прецизионный магнитно-мягкий";"Сплав обладает наивысшей начальной  проницаемостью в постоянных и переменных полях";"Для сердечников малогабаритных трансформаторов и дросселей, работающих в слабых полях; ; для магнитных экранов.";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=983";"Сплав прецизионный";"Сплав прецизионный магнитно-мягкий";"83НФ-Ш";"Сплав прецизионный магнитно-мягкий";;"для сердечников малогабаритных трансформаторов и дросселей, работающих в слабых полях; сплав обладает наивысшей магнитной проницаемостью в слабых полях";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=984";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"35КФ10Н";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=985";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"25КФ14Н";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=697";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"35КХ4Ф";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=698";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"35КХ6Ф";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=693";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"52К10Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=694";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"52К11Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=699";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"35КХ8Ф";"Сплав прецизионный магнитно-твердый";;"для активной части гистерезисных двигателей";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=695";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"52К12Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=696";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"52К13Ф";"Сплав прецизионный магнитно-твердый";;"для малогабаритных постоянных магнитов";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=701";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"ЕВ6";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=700";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"ЕХ3";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
"http://splav-kharkov.com/mat_start.php?name_id=702";"Сплав прецизионный";"Сплав прецизионный магнитно-твердый";"ЕХ5К5";"Сплав прецизионный магнитно-твердый";;"для магнитов неответственного назначения";"Нет данных"
